source_file,date,year,n_items,n_found,Energy,Protein,Carbohydrate,Fiber,"Sugars, Total",Total fat,"Fatty acids, total saturated",Cholesterol,Calcium,Iron,Magnesium,Potassium,Sodium,Zinc,"Vitamin A, RAE",Vitamin C,Vitamin D (D2 + D3),Vitamin B-12,"Folate, total",Thiamin,Riboflavin,raw_energy,is_outlier
2024_01_14.csv,2024-01-14,2024,28,28,8169.0,443.95000000000005,1450.8400000000001,147.5,0.0,199.81,62.386,503.0,703.0,101.47999999999999,198.2,4699.0,15001.0,28.42,444.0,604.0,0.0,11.0,744.0,13.416,5.344,8169.0,False
2024_01_24_b.csv,2024-01-24,2024,4,4,4845.0,80.32499999999999,944.2125000000001,0.0,0.0,455.32500000000005,247.79999999999998,202.5,2092.5,20.25,0.0,0.0,798.75,0.0,0.0,19.125,0.0,0.0,0.0,0.0,0.0,4845.0,False
2024_02_08.csv,2024-02-08,2024,31,31,11021.9,343.4785,1643.4355,105.80000000000001,0.0,596.3095000000001,291.2,566.25,4956.0,83.685,66.2,5364.75,14421.75,3.1799999999999997,1.0,515.05,0.0,0.0,15.0,0.054,0.0,11021.9,False
2024_02_22.csv,2024-02-22,2024,25,25,9620.8,420.12299999999993,1450.333,137.65,0.0,709.547,350.26300000000003,1017.0,5423.200000000001,87.78999999999999,60.0,1692.0,10122.0,18.509999999999998,138.0,214.2,0.0,8.25,30.0,0.14400000000000002,0.5249999999999999,9620.8,False
2024_03_05.csv,2024-03-05,2024,37,37,11860.3,336.58050000000003,940.9655,77.55000000000001,0.0,901.6595000000003,458.36000000000007,1736.75,8377.7,47.305000000000014,482.20000000000016,7804.75,19003.25,15.209999999999999,130.0,549.0,0.0,0.0,189.0,0.11399999999999999,0.652,11860.3,False
2024_03_24.csv,2024-03-24,2024,35,35,15114.253632887188,415.23850000000004,2396.7025,99.36,0.0,800.7819999999997,323.4044499999998,708.0,5967.05,97.805,246.25,4807.55,20718.4,8.5015,143.4,201.89499999999998,0.0,0.0,198.4,0.4009,0.19380000000000003,15114.253632887188,False
2024_03_25.csv,2024-03-25,2024,48,48,25759.1,575.9789999999999,2723.6039999999994,208.70999999999995,0.0,1377.904,757.758,2409.5,2513.0,93.44500000000001,520.6000000000001,5637.9,30487.6,9.219999999999999,1.0,441.46000000000004,0.0,0.0,15.0,0.054,0.22385,25759.1,False
2024_03_25_b.csv,2024-03-25,2024,36,36,15424.253632887188,423.6885,2450.2225,103.56,0.0,807.1219999999997,326.2244499999998,708.0,6319.05,99.325,246.25,4807.55,21394.4,8.5015,143.4,201.89499999999998,0.0,0.0,198.4,0.4009,0.2658,15424.253632887188,False
2024_03_30.csv,2024-03-30,2024,48,48,25759.1,575.9789999999999,2723.6039999999994,208.70999999999995,0.0,1377.904,757.758,2409.5,2513.0,93.44500000000001,520.6000000000001,5637.9,30487.6,9.219999999999999,1.0,441.46000000000004,0.0,0.0,15.0,0.054,0.22385,25759.1,False
2024_04_18.csv,2024-04-18,2024,34,34,9216.0,718.7650000000001,1114.4750000000004,226.44999999999993,0.0,397.345,187.565,1554.0,5415.0,92.17000000000002,0.0,3308.0,16867.0,0.0,258.0,477.5,0.0,0.0,0.0,0.0,0.324,9216.0,False
2024_04_25.csv,2024-04-25,2024,4,4,626.0,20.21,105.96000000000001,5.8,0.0,13.67,6.67,33.0,221.0,7.83,0.0,0.0,1364.0,0.0,0.0,18.4,0.0,0.0,0.0,0.0,0.0,626.0,False
2024_04_25_b.csv,2024-04-25,2024,5,5,626.0,20.21,105.96000000000001,5.8,0.0,13.67,6.67,33.0,221.0,7.83,0.0,0.0,1364.0,0.0,0.0,18.4,0.0,0.0,0.0,0.0,0.0,626.0,False
2024_05_04.csv,2024-05-04,2024,23,23,4936.0,123.3,988.6,54.70000000000002,0.0,122.29000000000002,20.732,143.0,1014.0,26.09,66.2,1934.0,9419.0,3.1799999999999997,1.0,723.6,0.0,0.0,15.0,0.054,0.0,4936.0,False
2024_05_08.csv,2024-05-08,2024,55,55,40312.01711281071,1059.7724999999998,5298.149000000003,353.8699999999999,0.0,1768.2799999999995,786.11345,2138.0,11562.649999999998,151.06420000000006,465.294,26276.05,80819.6,22.5411,1022.4,1261.0299999999997,7.200000000000001,4.59,427.4,3.1959,2.9956500000000004,40312.01711281071,False
2024_05_11.csv,2024-05-11,2024,35,35,11515.0,805.42,1988.2999999999997,302.9,0.0,246.92999999999995,130.72000000000003,1211.0,2577.0,114.01999999999998,262.0,7094.0,29010.0,6.0,0.0,875.5,0.0,0.0,42.0,0.12,0.32,11515.0,False
2024_06_02.csv,2024-06-02,2024,39,39,18467.1,522.5684999999999,2494.61,193.75,0.0,825.1309999999999,330.83700000000005,792.4,5280.25,145.84250000000003,47.1,1260.0,21782.4,1.67,129.0,302.62499999999994,0.0,0.0,15.0,10.854000000000001,3.3200000000000003,18467.1,False
2024_06_14.csv,2024-06-14,2024,14,14,10131.400000000001,288.86,1394.8,65.8,0.0,373.48199999999997,211.04000000000002,1191.4,2330.0,44.470000000000006,40.0,9281.0,27416.0,12.34,6.0,329.79999999999995,0.0,5.5,448.0,2.096,1.26,10131.400000000001,False
2024_07_11.csv,2024-07-11,2024,5,5,2393.0,160.01,422.04999999999995,58.300000000000004,0.0,72.72,27.8,348.0,154.0,20.36,80.0,1398.0,2373.0,24.68,12.0,115.39999999999999,0.0,11.0,40.0,0.192,0.7,2393.0,False
2024_07_15.csv,2024-07-15,2024,19,19,6537.0,197.85000000000002,810.3299999999999,59.500000000000014,0.0,325.25000000000006,140.852,235.0,3638.0,41.519999999999996,28.0,1255.0,5849.0,0.16,1.0,249.89999999999998,0.0,0.0,15.0,0.054,0.252,6537.0,False
2024_07_21.csv,2024-07-21,2024,17,17,4765.103632887189,153.296,691.444,38.7,0.0,170.86999999999998,92.88300000000001,530.1999999999999,1836.5,28.0516,200.322,3858.4999999999995,12508.9,4.3198,1.0,252.0,0.0,0.0,185.0,0.354,1.36,4765.103632887189,False
2024_07_25.csv,2024-07-25,2024,52,52,23788.699999999997,618.7059999999999,3285.8689999999992,330.9000000000001,0.0,990.8819999999997,301.24699999999996,380.0,6620.6,127.00450000000001,1962.0,18225.1,34272.9,21.554999999999996,262.0,1311.5600000000004,0.0,0.0,241.0,4.4365,0.9033500000000001,23788.699999999997,False
2024_07_30_b.csv,2024-07-30,2024,23,23,11488.667112810706,223.05999999999997,2017.3550000000005,141.35,0.0,205.49299999999997,92.69050000000001,300.0,3216.0,55.17,250.45,14268.75,39541.5,4.665,1069.25,802.5500000000002,0.0,0.0,436.75,0.31875,0.438,11488.667112810706,False
2024_08_08.csv,2024-08-08,2024,2,2,122.0,0.34,29.6,4.2,0.0,0.3,0.056,0.0,10.0,0.06,10.0,208.0,0.0,0.04,6.0,9.2,0.0,0.0,0.0,0.02,0.14,122.0,False
