source_file,date,year,n_items,n_found,Energy,Protein,Carbohydrate,Fiber,"Sugars, Total",Total fat,"Fatty acids, total saturated",Cholesterol,Calcium,Iron,Magnesium,Potassium,Sodium,Zinc,"Vitamin A, RAE",Vitamin C,Vitamin D (D2 + D3),Vitamin B-12,"Folate, total",Thiamin,Riboflavin,raw_energy,is_outlier
2023_01_10.csv,2023-01-10,2023,14,13,1295.6342256214148,80.40845,390.09655,28.131000000000004,0.0,160.4451,31.465224999999997,339.0,251.66500000000002,11.736850000000002,43.620000000000005,5124.915,7100.08,0.73375,11.030000000000001,114.75999999999999,0.0,0.0,53.760000000000005,0.07053,0.08836000000000001,1295.6342256214148,True
2023_10_21.csv,2023-10-21,2023,14,14,3386.0093171008602,74.91015625000001,347.88046875,24.0,30.044874999999998,192.184375,107.87100000000001,328.0,610.5125,8.742625,118.9375,1103.75,2867.0,1.396625,7.0,377.8,0.0,0.0,66.0,0.219,0.1,3386.0093171008602,False
2023_10_25.csv,2023-10-25,2023,31,31,14828.372131931166,445.72813,1470.0941149999999,139.91,0.0,837.571865,344.924855,1728.095,4889.318,46.29067500000001,167.285,3722.2565,17851.698,7.855095000000002,3769.25,160.39999999999992,13.3,3.6486799999999993,186.8505,0.44666,2.132659,14828.372131931166,False
2023_10_30.csv,2023-10-30,2023,28,28,12587.574359464626,300.2548,1142.0217,117.90899999999999,0.0,873.5680999999998,408.4304900000001,2083.44,3404.54,51.018499999999996,461.79,10834.900000000001,9949.09,28.227500000000006,9391.89,291.6039999999999,18.436000000000003,5.5094,426.6600000000001,1.9055700000000004,4.19253,12587.574359464626,False
2023_11_01.csv,2023-11-01,2023,27,27,10090.17258126195,152.3036,965.2649000000002,57.077999999999996,0.0,639.7569999999998,248.30724999999998,1121.0,1948.47,26.8351,94.42,2226.5099999999998,14255.43,1.218,61.769999999999996,343.025,0.2,0.18480000000000002,135.11,0.27302,0.22834,10090.17258126195,False
2023_11_09.csv,2023-11-09,2023,30,28,9218.386233269599,259.74249999999995,505.1049999999999,18.839,0.0,693.775,397.29323999999997,1943.9099999999999,1846.29,15.290299999999998,116.16,3085.96,9645.42,3.1488,4933.0,49.600000000000016,19.2,1.9232000000000002,79.64,0.3604,2.3099199999999995,9218.386233269599,False
2023_11_15.csv,2023-11-15,2023,12,12,3273.0669216061187,99.13999999999999,385.85499999999996,31.35,0.0,151.35999999999999,35.534000000000006,258.0,552.0,26.575,50.5,926.5,4473.5,0.54,5.5,128.8,0.0,0.0,66.5,0.1275,0.085,3273.0669216061187,False
2023_11_23.csv,2023-11-23,2023,8,8,712.2007648183555,54.16,59.085,27.050000000000004,0.0,30.909999999999997,8.549,160.0,188.0,3.405,43.5,1557.5,3614.5,44.76,10.5,45.0,0.0,0.0,121.5,0.1005,0.195,712.2007648183555,True
2023_12_02.csv,2023-12-02,2023,26,26,9626.55018295889,190.4193125,784.8757375,50.157999999999994,6.68975,635.1547499999999,394.17,1431.0,2497.225,20.62885,55.275,1201.48,6984.24,2.02765,0.0,194.91200000000003,0.0,0.0,17.759999999999998,0.06363999999999999,0.16519999999999999,9626.55018295889,False
2023_12_10.csv,2023-12-10,2023,22,22,5606.644493307839,247.4221,704.9815000000001,70.36399999999999,0.0,206.3777,91.64719999999998,1234.47,1413.19,27.6182,224.44,4621.48,7997.42,4.0022,2655.62,150.104,1.52,0.6764,281.42,0.93956,0.9259,5606.644493307839,False
2023_12_14.csv,2023-12-14,2023,18,18,5016.066921606119,109.96000000000001,774.725,52.809999999999995,0.0,179.54,61.113,287.0,542.8,15.573000000000002,27.7,1401.5,3904.5,0.615,3.5,36.9,0.0,0.0,40.5,0.0335,0.065,5016.066921606119,False
2023_12_17.csv,2023-12-17,2023,25,25,5120.422084130019,213.5017,743.3540999999998,69.176,5.34,399.53640000000007,60.07452000000001,345.0,1287.7300000000002,15.6301,88.7,10739.52,43036.8,50.2661,60.010000000000005,298.00199999999995,20.0,4.48,290.88000000000005,0.19029999999999997,2.4463799999999996,5120.422084130019,True
2023_12_23.csv,2023-12-23,2023,10,10,4192.749521988528,62.04,253.88000000000002,30.6,0.0,325.41,206.10000000000002,890.0,366.0,20.320000000000004,100.0,1460.0,3411.0,1.7000000000000002,0.0,74.0,0.0,0.0,190.0,0.45999999999999996,0.27,4192.749521988528,False
2023_12_28.csv,2023-12-28,2023,8,8,1948.0,98.961,288.622,25.955000000000002,0.0,162.97650000000002,42.617999999999995,256.0,429.75,17.8045,13.2,2959.0,3524.9,0.295,0.0,47.82,0.0,0.0,0.0,0.0,0.0,1948.0,False
2024_01_03.csv,2024-01-03,2024,28,28,21412.889885277247,268.418,1126.0138,98.62799999999997,0.0,2071.976,617.89065,3452.0,1943.3999999999999,50.1411,73.16,5610.12,13386.97,1.1793,31.17,297.642,0.0,0.0,186.95999999999998,0.32314,0.2967,21412.889885277247,False
2024_01_05.csv,2024-01-05,2024,19,19,3234.2187189292545,113.52309999999999,352.04709999999994,60.65400000000001,0.0,154.0067,29.465809999999994,229.0,589.7,21.303900000000002,194.41,4118.23,5884.24,21.1681,2540.7599999999998,216.80400000000003,0.8,2.9348,230.51000000000002,0.57677,0.8196499999999999,3234.2187189292545,False
2024_01_09.csv,2024-01-09,2024,16,16,4664.0,180.03999999999996,393.3200000000001,13.4,0.0,247.23000000000002,52.26,778.0,18.0,17.99,0.0,1500.0,5913.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4664.0,False
